date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:43	55061/55061	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:32%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-icons-line-icons.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-icons-line-icons.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:44	35155/35155	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:32%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-icons-meteocons.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-icons-meteocons.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:44	43150/43150	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:41%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-tabs.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-tabs.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:44	48302/48302	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:37%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-panels.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-panels.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:45	61449/61449	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:44%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-widgets.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-widgets.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:45	36032/36032	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:38%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-portlets.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-portlets.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:46	41292/41292	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:25%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-buttons.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-buttons.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:46	34748/34748	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:22%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-alerts.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-alerts.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:46	44395/44395	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:37%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-notifications.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-notifications.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:47	67630/67630	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:35%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-modals.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-modals.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:47	40602/40602	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:33%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-lightbox.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-lightbox.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:48	101791/101791	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:39%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-progressbars.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-progressbars.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
